city_municipality,neighborhood_district,province
Amsterdam,Centrum,Noord-Holland
Amsterdam,Jordaan,Noord-Holland
Amsterdam,De Pijp,Noord-Holland
Amsterdam,Oud-West,Noord-Holland
Amsterdam,Oud-Zuid,Noord-Holland
Amsterdam,Oost,Noord-Holland
Amsterdam,West,Noord-Holland
Amsterdam,Noord,Noord-Holland
Amsterdam,Zuidoost,Noord-Holland
Amsterdam,Nieuw-West,Noord-Holland
Amsterdam,IJburg/Zeeburgereiland,Noord-Holland
Amsterdam,De Baarsjes,Noord-Holland
Amsterdam,Watergraafsmeer,Noord-Holland
Amsterdam,Indische Buurt,Noord-Holland
Amsterdam,Bos en Lommer,Noord-Holland
Rotterdam,Centrum,Zuid-Holland
Rotterdam,Delfshaven,Zuid-Holland
Rotterdam,Kralingen-Crooswijk,Zuid-Holland
Rotterdam,Feijenoord,Zuid-Holland
Rotterdam,Charlois,Zuid-Holland
Rotterdam,Noord,Zuid-Holland
Rotterdam,Hillegersberg-Schiebroek,Zuid-Holland
Rotterdam,Prins Alexander,Zuid-Holland
Rotterdam,Hoek van Holland,Zuid-Holland
Rotterdam,IJsselmonde,Zuid-Holland
Rotterdam,Overschie,Zuid-Holland
Rotterdam,Pernis,Zuid-Holland
Den Haag,Centrum,Zuid-Holland
Den Haag,Scheveningen,Zuid-Holland
Den Haag,Segbroek,Zuid-Holland
Den Haag,Haagse Hout,Zuid-Holland
Den Haag,Laak,Zuid-Holland
Den Haag,Escamp,Zuid-Holland
Den Haag,Loosduinen,Zuid-Holland
Den Haag,Leidschenveen-Ypenburg,Zuid-Holland
Den Haag,Archipelbuurt,Zuid-Holland
Den Haag,Willemspark,Zuid-Holland
Den Haag,Zeeheldenkwartier,Zuid-Holland
Den Haag,Schilderswijk,Zuid-Holland
Den Haag,Transvaalkwartier,Zuid-Holland
Den Haag,Benoordenhout,Zuid-Holland
Den Haag,Mariahoeve,Zuid-Holland
Den Haag,Bezuidenhout,Zuid-Holland
Den Haag,Duindorp,Zuid-Holland
Den Haag,Duinoord,Zuid-Holland
Den Haag,Statenkwartier,Zuid-Holland
Den Haag,Valkenboskwartier,Zuid-Holland
Den Haag,Vogelwijk,Zuid-Holland
Den Haag,Vruchtenbuurt,Zuid-Holland
Den Haag,Morgenstond,Zuid-Holland
Den Haag,Wateringse Veld,Zuid-Holland
Den Haag,Ypenburg,Zuid-Holland
Utrecht,Binnenstad,Utrecht
Utrecht,Oost,Utrecht
Utrecht,West,Utrecht
Utrecht,Zuid,Utrecht
Utrecht,Noordoost,Utrecht
Utrecht,Leidsche Rijn,Utrecht
Utrecht,Overvecht,Utrecht
Utrecht,Vleuten-De Meern,Utrecht
Utrecht,Lombok,Utrecht
Utrecht,Oog in Al,Utrecht
Utrecht,Pijlsweerd,Utrecht
Utrecht,Ondiep,Utrecht
Utrecht,Zuilen,Utrecht
Utrecht,Wittevrouwen,Utrecht
Utrecht,Sterrenwijk,Utrecht
Utrecht,Abstede,Utrecht
Utrecht,Oudwijk,Utrecht
Utrecht,Wilhelminapark,Utrecht
Utrecht,Lunetten,Utrecht
Utrecht,Hoograven,Utrecht
Utrecht,Tolsteeg,Utrecht
Utrecht,Rotsoord,Utrecht
Eindhoven,Centrum,Noord-Brabant
Eindhoven,Stratum,Noord-Brabant
Eindhoven,Strijp,Noord-Brabant
Eindhoven,Tongelre,Noord-Brabant
Eindhoven,Woensel-Noord,Noord-Brabant
Eindhoven,Woensel-Zuid,Noord-Brabant
Eindhoven,Gestel,Noord-Brabant
Eindhoven,Meerhoven,Noord-Brabant
Eindhoven,Oud-Stratum,Noord-Brabant
Eindhoven,Kortonjo,Noord-Brabant
Eindhoven,Putten,Noord-Brabant
Eindhoven,Oud-Tongelre,Noord-Brabant
Eindhoven,De Laak,Noord-Brabant
Eindhoven,Oud-Woensel,Noord-Brabant
Eindhoven,Erp,Noord-Brabant
Eindhoven,Begijnenbroek,Noord-Brabant
Eindhoven,Ontginning,Noord-Brabant
Eindhoven,Achtse Molen,Noord-Brabant
Eindhoven,Aanschot,Noord-Brabant
Eindhoven,Dommelbeemd,Noord-Brabant
Eindhoven,Oud-Strijp,Noord-Brabant
Eindhoven,Halve Maan,Noord-Brabant
Eindhoven,Rozenknopje,Noord-Brabant
Eindhoven,Oud-Gestel,Noord-Brabant
Eindhoven,Oud Kasteel,Noord-Brabant
Groningen,Binnenstad,Groningen
Groningen,Oosterpoort,Groningen
Groningen,Helpman,Groningen
Groningen,Selwerd,Groningen
Groningen,Paddepoel,Groningen
Groningen,Reitdiep,Groningen
Groningen,Beijum,Groningen
Groningen,Vinkhuizen,Groningen
Groningen,Korrewegwijk,Groningen
Groningen,Oosterpark,Groningen
Groningen,Lewenborg,Groningen
Groningen,Hunnerdorp,Groningen
Tilburg,Centrum,Noord-Brabant
Tilburg,Oud-Noord,Noord-Brabant
Tilburg,Oud-Zuid,Noord-Brabant
Tilburg,Tilburg-West,Noord-Brabant
Tilburg,Tilburg-Noord,Noord-Brabant
Tilburg,Reeshof,Noord-Brabant
Tilburg,Groenewoud,Noord-Brabant
Tilburg,Korvel,Noord-Brabant
Almere,Almere Stad,Flevoland
Almere,Almere Buiten,Flevoland
Almere,Almere Haven,Flevoland
Almere,Almere Poort,Flevoland
Almere,Almere Hout,Flevoland
Almere,Almere Pampus,Flevoland
Breda,Centrum,Noord-Brabant
Breda,Belcrum,Noord-Brabant
Breda,Ginneken,Noord-Brabant
Breda,Princenhage,Noord-Brabant
Breda,Haagse Beemden,Noord-Brabant
Breda,Boeimeer,Noord-Brabant
Breda,IJpelaar,Noord-Brabant
Breda,Tuinzigt,Noord-Brabant
Nijmegen,Centrum,Gelderland
Nijmegen,Nijmegen-Oost,Gelderland
Nijmegen,Nijmegen-West,Gelderland
Nijmegen,Lent,Gelderland
Nijmegen,Dukenburg,Gelderland
Nijmegen,Lindenholt,Gelderland
Nijmegen,Hatert,Gelderland
Nijmegen,Brakkenstein,Gelderland
Enschede,Centrum,Overijssel
Enschede,Roombeek,Overijssel
Enschede,Glanerbrug,Overijssel
Enschede,Twekkelerveld,Overijssel
Enschede,Stadsveld,Overijssel
Enschede,Wesselerbrink,Overijssel
Enschede,Boekelo,Overijssel
Enschede,Helmerhoek,Overijssel
Haarlem,Centrum,Noord-Holland
Haarlem,Haarlem-Noord,Noord-Holland
Haarlem,Haarlem-Oost,Noord-Holland
Haarlem,Schalkwijk,Noord-Holland
Haarlem,Houtvaartkwartier,Noord-Holland
Haarlem,Kleverpark,Noord-Holland
Haarlem,Vogelenwijk,Noord-Holland
Haarlem,Boerhaavewijk,Noord-Holland
Arnhem,Centrum,Gelderland
Arnhem,Klarendal,Gelderland
Arnhem,Presikhaaf,Gelderland
Arnhem,Schaarsbergen,Gelderland
Arnhem,Schuytgraaf,Gelderland
Arnhem,Arnhem-Zuid,Gelderland
Arnhem,Elden,Gelderland
Arnhem,Malburgen,Gelderland
Amersfoort,Centrum,Utrecht
Amersfoort,Vathorst,Utrecht
Amersfoort,Schothorst,Utrecht
Amersfoort,Zielhorst,Utrecht
Amersfoort,Kattenbroek,Utrecht
Amersfoort,Liendert,Utrecht
Amersfoort,Randenbroek,Utrecht
Amersfoort,Nieuwland,Utrecht
Apeldoorn,Centrum,Gelderland
Apeldoorn,De Maten,Gelderland
Apeldoorn,Apeldoorn-Zuid,Gelderland
Apeldoorn,Apeldoorn-Noord,Gelderland
Apeldoorn,Osseveld-Woudhuis,Gelderland
Apeldoorn,Ugchelen,Gelderland
Apeldoorn,De Parken,Gelderland
Apeldoorn,Orden,Gelderland
Maastricht,Centrum,Limburg
Maastricht,Wyck,Limburg
Maastricht,Céramique,Limburg
Maastricht,Sint Pieter,Limburg
Maastricht,Heer,Limburg
Maastricht,Belfort,Limburg
Maastricht,Wittevrouwenveld,Limburg
Maastricht,Nazareth,Limburg
Leiden,Binnenstad,Zuid-Holland
Leiden,Stevenshof,Zuid-Holland
Leiden,Merenwijk,Zuid-Holland
Leiden,Leiden-Noord,Zuid-Holland
Leiden,Leiden-Zuidwest,Zuid-Holland
Leiden,Boerhaavedistrict,Zuid-Holland
Leiden,Roodenburgerdistrict,Zuid-Holland
Leiden,Stationsdistrict,Zuid-Holland
Dordrecht,Centrum,Zuid-Holland
Dordrecht,Stadspolders,Zuid-Holland
Dordrecht,Dubbeldam,Zuid-Holland
Dordrecht,Crabbehof,Zuid-Holland
Dordrecht,Wielwijk,Zuid-Holland
Dordrecht,Sterrenburg,Zuid-Holland
Dordrecht,De Staart,Zuid-Holland
Dordrecht,Reeland,Zuid-Holland
's-Hertogenbosch,Binnenstad,Noord-Brabant
's-Hertogenbosch,Maaspoort,Noord-Brabant
's-Hertogenbosch,Empel,Noord-Brabant
's-Hertogenbosch,De Groote Wielen,Noord-Brabant
's-Hertogenbosch,Paleiskwartier,Noord-Brabant
's-Hertogenbosch,Rosmalen,Noord-Brabant
's-Hertogenbosch,Engelen,Noord-Brabant
's-Hertogenbosch,Vinkel,Noord-Brabant
Zwolle,Binnenstad,Overijssel
Zwolle,Assendorp,Overijssel
Zwolle,Stadshagen,Overijssel
Zwolle,Holtenbroek,Overijssel
Zwolle,Zwolle-Zuid,Overijssel
Zwolle,Aa-landen,Overijssel
Zwolle,Dieze,Overijssel
Zwolle,Berkum,Overijssel
Leeuwarden,Binnenstad,Friesland
Leeuwarden,Huizum,Friesland
Leeuwarden,Camminghaburen,Friesland
Leeuwarden,Bilgaard,Friesland
Leeuwarden,Aldlân,Friesland
Leeuwarden,Vrijheidswijk,Friesland
Leeuwarden,Westeinde,Friesland
Leeuwarden,Westerkwartier,Friesland
Delft,Binnenstad,Zuid-Holland
Delft,Voorhof,Zuid-Holland
Delft,Tanthof,Zuid-Holland
Delft,Hof van Delft,Zuid-Holland
Delft,Wippolder,Zuid-Holland
Delft,Buitenhof,Zuid-Holland
Delft,Rijswijkse Hout,Zuid-Holland
Delft,Schieoevers,Zuid-Holland
Haarlemmermeer,Hoofddorp,Noord-Holland
Haarlemmermeer,Nieuw-Vennep,Noord-Holland
Haarlemmermeer,Badhoevedorp,Noord-Holland
Haarlemmermeer,Hoofddorp Floriande,Noord-Holland
Haarlemmermeer,Zwanenburg,Noord-Holland
